DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,LOCATION,Cross Street,LAT,LON
211815333,02/29/2020 12:00:00 AM,02/27/2020 12:00:00 AM,521,8,West LA,1568,1,110,CRIMINAL HOMICIDE,5673 6569,17,M,K,512,SIDEWALK,102,SEMI-AUTOMATIC PISTOL,AO,Adult Other,110,,1790 MAIN ST,,34.078843,-118.387952
200952045,04/04/2020 12:00:00 AM,04/02/2020 12:00:00 AM,1913,2,Rampart,471,1,310,BURGLARY,6993 1153,68,M,A,838,RESTAURANT/FAST FOOD,103,REVOLVER,JO,Juv Other,310,,241 VENICE ST,FIGUEROA ST,33.971114,-118.588258
218502343,10/26/2021 12:00:00 AM,10/23/2021 12:00:00 AM,1821,10,West Valley,173,2,350,"THEFT, PERSON",8923 8874,3,F,O,461,"SCHOOL, PUBLIC",300,BLUNT INSTRUMENT,AO,Adult Other,350,210,4722 WESTERN ST,,33.831828,-118.442847
215029139,06/18/2024 12:00:00 AM,06/17/2024 12:00:00 AM,1678,11,Northeast,1979,1,110,CRIMINAL HOMICIDE,4811 2720,64,X,W,485,"VEHICLE, PASSENGER/TRUCK",103,REVOLVER,JA,Juv Arrest,110,,7539 PICO ST,,33.637747,-118.033639
234763802,04/24/2020 12:00:00 AM,04/21/2020 12:00:00 AM,478,19,Mission,151,2,220,ATTEMPTED ROBBERY,4355 4333,76,F,H,314,RESTAURANT/FAST FOOD,104,RIFLE,IC,Invest Cont,220,,1956 BROADWAY ST,,34.064094,-118.475738
222962207,08/23/2021 12:00:00 AM,08/22/2021 12:00:00 AM,1886,19,Mission,430,2,220,ATTEMPTED ROBBERY,7406 6450,24,M,A,230,MULTI-UNIT DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,220,,1127 VERMONT ST,,33.562273,-118.717204
216033813,01/04/2022 12:00:00 AM,01/03/2022 12:00:00 AM,2060,16,Foothill,266,2,320,BURGLARY FROM VEHICLE,5367 2291,63,F,A,525,DRIVEWAY,104,RIFLE,JA,Juv Arrest,320,,9941 MANCHESTER ST,BROADWAY,34.374478,-118.052664
202259881,02/06/2022 12:00:00 AM,02/03/2022 12:00:00 AM,453,21,Topanga,1098,1,110,CRIMINAL HOMICIDE,9881 3187,19,M,C,392,ALLEY,300,BLUNT INSTRUMENT,JA,Juv Arrest,110,350,4381 FIGUEROA ST,,33.569505,-118.36092
241134480,06/01/2022 12:00:00 AM,05/29/2022 12:00:00 AM,1443,3,Southwest,1490,2,220,ATTEMPTED ROBBERY,9845 9889,41,M,W,190,"VEHICLE, PASSENGER/TRUCK",0,UNKNOWN,JO,Juv Other,220,,8025 MANCHESTER ST,,34.004566,-118.623324
227248644,10/25/2020 12:00:00 AM,10/22/2020 12:00:00 AM,1716,15,N Hollywood,907,2,320,BURGLARY FROM VEHICLE,7083 9662,73,M,W,759,GAS STATION,201,OTHER CUTTING INSTRUMENT,IC,Invest Cont,320,330,3739 MANCHESTER ST,,34.492307,-118.445277
203962075,05/15/2021 12:00:00 AM,05/14/2021 12:00:00 AM,2184,6,Hollywood,834,2,220,ATTEMPTED ROBBERY,1463 8484,44,M,H,451,DRIVEWAY,300,BLUNT INSTRUMENT,AA,Adult Arrest,220,,818 VENICE ST,,33.987813,-117.803714
232233132,12/23/2022 12:00:00 AM,12/23/2022 12:00:00 AM,1011,8,West LA,449,1,330,BURGLARY,1977 3341,54,M,F,737,PARK/PLAYGROUND,200,KNIFE OR CUTTING INSTRUMENT,AA,Adult Arrest,330,624,6736 MAIN ST,,33.860856,-118.076226
213134132,04/23/2022 12:00:00 AM,04/20/2022 12:00:00 AM,2216,15,N Hollywood,1276,1,210,ROBBERY,7202 9017,13,F,C,594,SINGLE FAMILY DWELLING,0,UNKNOWN,IC,Invest Cont,210,,1561 PICO ST,MAIN ST,34.003868,-118.424598
211205776,03/05/2023 12:00:00 AM,03/05/2023 12:00:00 AM,1224,2,Rampart,110,1,410,THEFT FROM MOTOR VEHICLE,1567 9087,50,F,F,149,MULTI-UNIT DWELLING,0,UNKNOWN,JA,Juv Arrest,410,121,2166 VERMONT ST,,33.583388,-118.659817
237198758,10/28/2023 12:00:00 AM,10/27/2023 12:00:00 AM,1433,9,Van Nuys,2018,1,121,RAPE FORCIBLE,1350 8038,68,F,K,160,"VEHICLE, PASSENGER/TRUCK",102,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,121,,2390 MAIN ST,,34.086414,-118.407421
224050488,06/11/2024 12:00:00 AM,06/10/2024 12:00:00 AM,2037,1,Central,2040,2,740,VANDALISM,2645 9703,76,F,H,518,OTHER BUSINESS,103,REVOLVER,JA,Juv Arrest,740,,892 WESTERN ST,,33.785264,-117.925016
241204797,01/03/2021 12:00:00 AM,01/01/2021 12:00:00 AM,729,13,Newton,1792,2,745,VANDALISM - FELONY,8971 3967,71,F,C,730,PARKING LOT,104,RIFLE,AA,Adult Arrest,745,,6928 FIGUEROA ST,,34.262102,-118.114961
206945705,12/14/2020 12:00:00 AM,12/12/2020 12:00:00 AM,68,2,Rampart,1233,1,210,ROBBERY,5310 3645,25,X,C,300,PARKING LOT,102,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,210,624,2985 MANCHESTER ST,,33.833028,-117.772155
231578538,12/24/2020 12:00:00 AM,12/24/2020 12:00:00 AM,617,13,Newton,2056,2,320,BURGLARY FROM VEHICLE,7712 2184,63,M,A,630,SINGLE FAMILY DWELLING,100,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,320,,8723 WESTERN ST,,33.936676,-118.700872
228574900,06/10/2020 12:00:00 AM,06/09/2020 12:00:00 AM,1600,15,N Hollywood,1959,1,310,BURGLARY,7983 2740,85,F,F,560,ALLEY,400,VEHICLE,JA,Juv Arrest,310,900,8624 WESTERN ST,BROADWAY,33.729893,-118.01245
223134128,06/02/2023 12:00:00 AM,05/30/2023 12:00:00 AM,1543,12,77th Street,1562,1,121,RAPE FORCIBLE,6759 6326,40,M,B,723,PARK/PLAYGROUND,101,HAND GUN,JA,Juv Arrest,121,,8287 PICO ST,,34.370386,-118.344004
213586527,11/18/2024 12:00:00 AM,11/15/2024 12:00:00 AM,1509,11,Northeast,899,2,740,VANDALISM,9187 3138,2,M,X,464,MULTI-UNIT DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,JA,Juv Arrest,740,,5204 MANCHESTER ST,,34.015066,-118.298946
211873370,02/22/2022 12:00:00 AM,02/22/2022 12:00:00 AM,1635,1,Central,1890,2,420,THEFT FROM MOTOR VEHICLE - GRAND,9917 3000,13,F,K,555,RESTAURANT/FAST FOOD,300,BLUNT INSTRUMENT,IC,Invest Cont,420,625,5493 MAIN ST,,34.400066,-118.025458
240430531,06/23/2023 12:00:00 AM,06/21/2023 12:00:00 AM,2186,15,N Hollywood,228,2,350,"THEFT, PERSON",2748 8192,39,F,O,183,"SCHOOL, PUBLIC",100,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JO,Juv Other,350,,3573 MAIN ST,,34.088409,-118.022396
213010516,10/31/2023 12:00:00 AM,10/31/2023 12:00:00 AM,1574,10,West Valley,740,2,625,OTHER ASSAULT,3788 5796,70,F,C,302,GAS STATION,201,OTHER CUTTING INSTRUMENT,JA,Juv Arrest,625,,7287 FIGUEROA ST,VERMONT AVE,34.32059,-117.889758
241497653,05/08/2021 12:00:00 AM,05/08/2021 12:00:00 AM,699,15,N Hollywood,1555,2,625,OTHER ASSAULT,9446 1626,15,M,K,738,SIDEWALK,200,KNIFE OR CUTTING INSTRUMENT,JA,Juv Arrest,625,,7424 WESTERN ST,,33.682783,-118.563186
222358888,10/16/2022 12:00:00 AM,10/14/2022 12:00:00 AM,1449,17,Devonshire,1670,1,110,CRIMINAL HOMICIDE,8595 9541,5,F,C,117,STREET,100,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,110,121,6342 MAIN ST,,33.846827,-117.91666
216279772,04/09/2023 12:00:00 AM,04/06/2023 12:00:00 AM,2354,15,N Hollywood,1998,1,330,BURGLARY,9455 8532,21,F,W,460,PARKING LOT,100,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,330,,5445 VENICE ST,MAIN ST,34.115385,-118.497692
201648864,10/20/2020 12:00:00 AM,10/17/2020 12:00:00 AM,385,11,Northeast,1314,1,230,ASSAULT WITH DEADLY WEAPON,4174 9854,63,F,X,760,PARK/PLAYGROUND,103,REVOLVER,JA,Juv Arrest,230,350,1071 VERMONT ST,,34.362552,-117.847208
214796683,04/20/2021 12:00:00 AM,04/19/2021 12:00:00 AM,566,19,Mission,1656,2,745,VANDALISM - FELONY,1643 9260,3,M,C,180,"VEHICLE, PASSENGER/TRUCK",200,KNIFE OR CUTTING INSTRUMENT,AA,Adult Arrest,745,,6050 MAIN ST,VERMONT AVE,34.232249,-118.719014
211429159,08/02/2022 12:00:00 AM,07/31/2022 12:00:00 AM,1325,8,West LA,1567,2,624,BATTERY - SIMPLE ASSAULT,3717 5524,30,X,H,522,MULTI-UNIT DWELLING,100,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,3435 FIGUEROA ST,,33.551782,-118.748284
206514941,07/30/2023 12:00:00 AM,07/29/2023 12:00:00 AM,1835,1,Central,1498,1,210,ROBBERY,7507 5778,50,F,X,867,SIDEWALK,400,VEHICLE,AA,Adult Arrest,210,,4114 VERMONT ST,,33.604712,-118.065362
200699148,06/04/2021 12:00:00 AM,06/04/2021 12:00:00 AM,836,10,West Valley,2168,1,410,THEFT FROM MOTOR VEHICLE,2405 4197,35,F,A,801,SIDEWALK,200,KNIFE OR CUTTING INSTRUMENT,JA,Juv Arrest,410,,4945 FLORENCE ST,,33.996681,-118.260753
229027055,07/30/2022 12:00:00 AM,07/27/2022 12:00:00 AM,1261,3,Southwest,1626,1,310,BURGLARY,2751 9659,51,M,H,335,PARKING LOT,105,SHOTGUN,JO,Juv Other,310,,5527 PICO ST,MAIN ST,34.128349,-118.037156
241656109,06/06/2021 12:00:00 AM,06/06/2021 12:00:00 AM,2077,20,Olympic,1157,1,410,THEFT FROM MOTOR VEHICLE,6319 2848,45,F,H,825,SINGLE FAMILY DWELLING,300,BLUNT INSTRUMENT,JA,Juv Arrest,410,,4792 MANCHESTER ST,MAIN ST,33.752613,-118.126045
236648938,09/27/2023 12:00:00 AM,09/27/2023 12:00:00 AM,2316,10,West Valley,290,1,330,BURGLARY,4403 3675,60,F,W,297,GAS STATION,400,VEHICLE,JO,Juv Other,330,,324 HOOPER ST,,33.878075,-117.969885
235789203,01/20/2020 12:00:00 AM,01/17/2020 12:00:00 AM,665,6,Hollywood,1341,1,121,RAPE FORCIBLE,2713 8633,50,F,H,457,ALLEY,103,REVOLVER,JA,Juv Arrest,121,,1265 PICO ST,FIGUEROA ST,33.685471,-118.647956
202439673,07/05/2024 12:00:00 AM,07/02/2024 12:00:00 AM,1406,6,Hollywood,1757,1,310,BURGLARY,7717 8367,8,M,A,710,PARKING LOT,105,SHOTGUN,IC,Invest Cont,310,,8335 VERMONT ST,,33.667082,-118.67261
202452410,08/10/2022 12:00:00 AM,08/08/2022 12:00:00 AM,1335,5,Harbor,316,1,210,ROBBERY,4202 5827,80,F,W,661,PARK/PLAYGROUND,105,SHOTGUN,IC,Invest Cont,210,,8453 MANCHESTER ST,FIGUEROA ST,34.419215,-118.549153
200400066,08/12/2021 12:00:00 AM,08/09/2021 12:00:00 AM,915,21,Topanga,1909,2,930,CRIMINAL THREATS,3090 1396,5,M,X,217,PARK/PLAYGROUND,103,REVOLVER,IC,Invest Cont,930,,6636 BROADWAY ST,,34.498459,-118.591561
239650983,10/19/2023 12:00:00 AM,10/18/2023 12:00:00 AM,1117,13,Newton,589,2,900,SEX OFFENSES,8280 9621,46,M,W,282,MULTI-UNIT DWELLING,201,OTHER CUTTING INSTRUMENT,JO,Juv Other,900,220,8545 BROADWAY ST,,33.637694,-118.661336
200116691,01/24/2023 12:00:00 AM,01/21/2023 12:00:00 AM,1782,16,Foothill,1306,1,110,CRIMINAL HOMICIDE,6181 5481,17,M,A,619,ALLEY,101,HAND GUN,IC,Invest Cont,110,,364 VERMONT ST,VERMONT AVE,33.557632,-118.673615
206462924,11/19/2020 12:00:00 AM,11/19/2020 12:00:00 AM,36,13,Newton,575,1,310,BURGLARY,9387 2877,63,X,C,284,SINGLE FAMILY DWELLING,102,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,310,,5881 HOOPER ST,,34.488408,-118.127259
232596519,05/31/2020 12:00:00 AM,05/31/2020 12:00:00 AM,1820,10,West Valley,331,2,900,SEX OFFENSES,3086 3574,22,X,O,526,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,JA,Juv Arrest,900,,1958 WESTERN ST,,33.796366,-118.327333
207733396,06/23/2022 12:00:00 AM,06/21/2022 12:00:00 AM,1220,4,Hollenbeck,811,2,930,CRIMINAL THREATS,8447 4137,24,F,O,677,PARKING LOT,100,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,930,410,7678 PICO ST,VERMONT AVE,33.962001,-118.098297
223033985,12/08/2021 12:00:00 AM,12/08/2021 12:00:00 AM,559,20,Olympic,136,2,624,BATTERY - SIMPLE ASSAULT,9815 5578,63,M,H,596,PARKING LOT,101,HAND GUN,JA,Juv Arrest,624,,9962 BROADWAY ST,,34.408903,-118.453434
203171211,04/18/2023 12:00:00 AM,04/17/2023 12:00:00 AM,92,9,Van Nuys,891,1,330,BURGLARY,1780 9970,44,M,B,790,"VEHICLE, PASSENGER/TRUCK",201,OTHER CUTTING INSTRUMENT,AA,Adult Arrest,330,,1932 VENICE ST,,34.469647,-118.609119
213268483,09/04/2021 12:00:00 AM,09/02/2021 12:00:00 AM,1822,15,N Hollywood,1897,2,320,BURGLARY FROM VEHICLE,1977 8047,39,F,C,595,DRIVEWAY,0,UNKNOWN,IC,Invest Cont,320,,7801 PICO ST,VERMONT AVE,34.266315,-117.898099
224068007,08/01/2023 12:00:00 AM,07/29/2023 12:00:00 AM,1098,7,Wilshire,1249,2,420,THEFT FROM MOTOR VEHICLE - GRAND,3775 7381,25,M,K,204,ALLEY,200,KNIFE OR CUTTING INSTRUMENT,JO,Juv Other,420,110,7106 VENICE ST,,33.639712,-118.608572
240827931,05/18/2022 12:00:00 AM,05/15/2022 12:00:00 AM,1946,2,Rampart,1626,2,900,SEX OFFENSES,6228 4849,41,M,F,102,PARK/PLAYGROUND,400,VEHICLE,JA,Juv Arrest,900,,8893 WESTERN ST,,33.551814,-117.796978
230980373,11/14/2023 12:00:00 AM,11/11/2023 12:00:00 AM,584,1,Central,1045,1,230,ASSAULT WITH DEADLY WEAPON,9580 3659,39,M,C,666,DRIVEWAY,102,SEMI-AUTOMATIC PISTOL,AO,Adult Other,230,,2738 MAIN ST,,33.910088,-117.916367
229683184,05/27/2021 12:00:00 AM,05/27/2021 12:00:00 AM,1687,18,Southeast,347,2,740,VANDALISM,1005 8927,60,M,O,624,GAS STATION,104,RIFLE,AA,Adult Arrest,740,,8080 FIGUEROA ST,,34.389354,-118.074541
231421976,07/24/2022 12:00:00 AM,07/24/2022 12:00:00 AM,1732,20,Olympic,1478,2,220,ATTEMPTED ROBBERY,9329 1771,61,F,W,152,PARKING LOT,400,VEHICLE,AA,Adult Arrest,220,210,8544 PICO ST,,33.989058,-118.194864
236344095,09/27/2024 12:00:00 AM,09/26/2024 12:00:00 AM,1247,2,Rampart,170,2,341,THEFT-GRAND,6510 9701,71,M,B,143,SINGLE FAMILY DWELLING,0,UNKNOWN,JO,Juv Other,341,,1616 HOOPER ST,,34.308227,-118.50379
208106450,09/10/2021 12:00:00 AM,09/07/2021 12:00:00 AM,257,10,West Valley,973,1,510,VEHICLE - STOLEN,3296 9267,7,M,K,570,ALLEY,201,OTHER CUTTING INSTRUMENT,AA,Adult Arrest,510,,2562 WESTERN ST,,33.959009,-118.400405
202740944,02/11/2021 12:00:00 AM,02/10/2021 12:00:00 AM,1793,18,Southeast,1244,2,625,OTHER ASSAULT,9299 9629,15,F,C,138,PARK/PLAYGROUND,102,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,625,,274 MAIN ST,VERMONT AVE,34.478389,-117.996907
226158410,02/26/2022 12:00:00 AM,02/23/2022 12:00:00 AM,2351,11,Northeast,1848,1,330,BURGLARY,1704 5763,40,M,B,273,SIDEWALK,201,OTHER CUTTING INSTRUMENT,IC,Invest Cont,330,121,4443 MAIN ST,VERMONT AVE,33.94559,-118.010963
201279895,10/13/2024 12:00:00 AM,10/11/2024 12:00:00 AM,1623,16,Foothill,372,2,420,THEFT FROM MOTOR VEHICLE - GRAND,2932 2429,22,M,F,271,PARK/PLAYGROUND,201,OTHER CUTTING INSTRUMENT,JA,Juv Arrest,420,740,5843 FIGUEROA ST,,33.822277,-118.632927
220790570,09/16/2022 12:00:00 AM,09/15/2022 12:00:00 AM,1984,1,Central,373,2,900,SEX OFFENSES,4478 5058,55,F,X,246,SINGLE FAMILY DWELLING,200,KNIFE OR CUTTING INSTRUMENT,IC,Invest Cont,900,110,4200 MAIN ST,FIGUEROA ST,34.309711,-117.760028
211745280,08/06/2020 12:00:00 AM,08/05/2020 12:00:00 AM,88,4,Hollenbeck,1714,1,310,BURGLARY,7601 3811,84,X,O,895,GAS STATION,104,RIFLE,AO,Adult Other,310,,1599 MANCHESTER ST,,34.180603,-118.32503
229298035,04/30/2021 12:00:00 AM,04/30/2021 12:00:00 AM,2303,8,West LA,1509,1,230,ASSAULT WITH DEADLY WEAPON,6299 4607,1,M,H,324,"VEHICLE, PASSENGER/TRUCK",200,KNIFE OR CUTTING INSTRUMENT,AA,Adult Arrest,230,110,4002 MAIN ST,,34.495183,-117.827746
225705373,02/20/2022 12:00:00 AM,02/20/2022 12:00:00 AM,15,4,Hollenbeck,883,2,350,"THEFT, PERSON",6807 1699,62,F,X,452,PARK/PLAYGROUND,400,VEHICLE,IC,Invest Cont,350,,7403 HOOPER ST,VERMONT AVE,33.855941,-118.121503
231193313,03/17/2023 12:00:00 AM,03/16/2023 12:00:00 AM,2266,14,Pacific,2176,1,510,VEHICLE - STOLEN,2201 1587,37,M,K,675,PARKING LOT,102,SEMI-AUTOMATIC PISTOL,JA,Juv Arrest,510,,4322 VENICE ST,BROADWAY,34.052892,-118.079633
227046557,01/05/2022 12:00:00 AM,01/03/2022 12:00:00 AM,1873,12,77th Street,1554,1,110,CRIMINAL HOMICIDE,8712 5141,68,M,K,298,PARK/PLAYGROUND,200,KNIFE OR CUTTING INSTRUMENT,AA,Adult Arrest,110,900,2047 BROADWAY ST,,34.467782,-118.734858
204777036,03/23/2023 12:00:00 AM,03/23/2023 12:00:00 AM,1257,4,Hollenbeck,1072,2,900,SEX OFFENSES,9413 9561,49,M,O,457,SIDEWALK,400,VEHICLE,IC,Invest Cont,900,510,7920 FIGUEROA ST,VERMONT AVE,33.709694,-117.781163
230669684,08/28/2021 12:00:00 AM,08/25/2021 12:00:00 AM,2039,17,Devonshire,1215,2,520,VEHICLE - ATTEMPT STOLEN,1748 4521,72,M,K,496,DRIVEWAY,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,520,,3520 HOOPER ST,,33.876217,-117.865904
204667853,12/03/2023 12:00:00 AM,12/02/2023 12:00:00 AM,1044,14,Pacific,2076,2,220,ATTEMPTED ROBBERY,6068 1298,79,M,C,229,DRIVEWAY,200,KNIFE OR CUTTING INSTRUMENT,JO,Juv Other,220,745,7335 PICO ST,,33.691049,-118.229073
238890631,08/27/2021 12:00:00 AM,08/27/2021 12:00:00 AM,2290,15,N Hollywood,311,1,230,ASSAULT WITH DEADLY WEAPON,4295 4303,27,F,B,120,ALLEY,400,VEHICLE,JO,Juv Other,230,624,8831 VENICE ST,,34.416151,-118.721104
214137982,02/14/2020 12:00:00 AM,02/14/2020 12:00:00 AM,1441,13,Newton,1992,1,110,CRIMINAL HOMICIDE,2179 8767,43,F,H,356,SIDEWALK,105,SHOTGUN,AA,Adult Arrest,110,,9152 FIGUEROA ST,MAIN ST,34.423426,-118.082871
220155968,08/26/2024 12:00:00 AM,08/24/2024 12:00:00 AM,2338,1,Central,852,2,930,CRIMINAL THREATS,8359 1268,65,M,A,257,"SCHOOL, PUBLIC",105,SHOTGUN,AA,Adult Arrest,930,,3977 FLORENCE ST,FIGUEROA ST,33.916011,-118.332457
200188138,09/10/2023 12:00:00 AM,09/09/2023 12:00:00 AM,1164,1,Central,182,1,330,BURGLARY,6644 3203,66,M,K,167,OTHER BUSINESS,500,UNKNOWN WEAPON/OTHER WEAPON,JO,Juv Other,330,,8388 FIGUEROA ST,,33.952457,-118.159126
201468984,03/21/2022 12:00:00 AM,03/18/2022 12:00:00 AM,1661,15,N Hollywood,321,2,220,ATTEMPTED ROBBERY,1338 3697,24,X,A,159,DRIVEWAY,102,SEMI-AUTOMATIC PISTOL,JO,Juv Other,220,,6877 MAIN ST,BROADWAY,33.953491,-117.990244
211544217,07/16/2021 12:00:00 AM,07/14/2021 12:00:00 AM,1129,14,Pacific,1899,2,740,VANDALISM,9348 8143,73,F,C,307,"SCHOOL, PUBLIC",100,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JA,Juv Arrest,740,745,1141 WESTERN ST,,34.131137,-118.222096
241831292,01/17/2020 12:00:00 AM,01/16/2020 12:00:00 AM,308,19,Mission,1902,2,341,THEFT-GRAND,8340 3727,62,F,H,709,STREET,101,HAND GUN,JO,Juv Other,341,,8966 PICO ST,VERMONT AVE,34.008512,-118.684891
212542914,03/05/2023 12:00:00 AM,03/04/2023 12:00:00 AM,2085,8,West LA,891,1,210,ROBBERY,7129 9538,70,M,A,635,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,210,,6534 FLORENCE ST,VERMONT AVE,33.681623,-118.550361
216534578,11/06/2024 12:00:00 AM,11/06/2024 12:00:00 AM,792,14,Pacific,210,2,740,VANDALISM,6249 5257,34,M,W,742,PARK/PLAYGROUND,104,RIFLE,IC,Invest Cont,740,,2786 FLORENCE ST,,33.695798,-118.187937
220347667,11/05/2023 12:00:00 AM,11/04/2023 12:00:00 AM,2064,13,Newton,889,2,740,VANDALISM,5400 3315,57,M,H,170,RESTAURANT/FAST FOOD,201,OTHER CUTTING INSTRUMENT,IC,Invest Cont,740,,846 FIGUEROA ST,,34.041216,-118.55474
208857932,05/12/2024 12:00:00 AM,05/09/2024 12:00:00 AM,1238,6,Hollywood,1279,1,230,ASSAULT WITH DEADLY WEAPON,6889 3835,76,F,B,519,OTHER BUSINESS,103,REVOLVER,AO,Adult Other,230,,6970 MANCHESTER ST,,33.653361,-118.099935
221066540,03/05/2024 12:00:00 AM,03/05/2024 12:00:00 AM,460,10,West Valley,173,1,230,ASSAULT WITH DEADLY WEAPON,6639 1913,14,F,B,444,"VEHICLE, PASSENGER/TRUCK",200,KNIFE OR CUTTING INSTRUMENT,IC,Invest Cont,230,740,2365 HOOPER ST,,34.03529,-117.873022
214969748,04/10/2020 12:00:00 AM,04/10/2020 12:00:00 AM,1683,15,N Hollywood,1750,2,740,VANDALISM,3784 4669,51,M,C,371,MULTI-UNIT DWELLING,0,UNKNOWN,JA,Juv Arrest,740,210,7800 MAIN ST,BROADWAY,33.815414,-117.917465
209214108,05/26/2023 12:00:00 AM,05/23/2023 12:00:00 AM,1892,14,Pacific,1185,1,510,VEHICLE - STOLEN,8355 7706,51,M,C,885,ALLEY,300,BLUNT INSTRUMENT,JA,Juv Arrest,510,220,3052 FLORENCE ST,,33.639154,-118.74639
210989688,03/06/2024 12:00:00 AM,03/04/2024 12:00:00 AM,993,20,Olympic,1497,1,210,ROBBERY,5488 3947,41,F,X,708,SIDEWALK,201,OTHER CUTTING INSTRUMENT,JO,Juv Other,210,,2286 MAIN ST,,33.599173,-118.315772
217273404,10/14/2022 12:00:00 AM,10/11/2022 12:00:00 AM,1183,14,Pacific,342,2,320,BURGLARY FROM VEHICLE,5462 9529,73,F,X,762,"VEHICLE, PASSENGER/TRUCK",104,RIFLE,AO,Adult Other,320,,7261 WESTERN ST,,33.581994,-118.193463
218293005,09/01/2024 12:00:00 AM,09/01/2024 12:00:00 AM,1877,19,Mission,675,2,930,CRIMINAL THREATS,6883 4197,82,F,F,704,ALLEY,0,UNKNOWN,IC,Invest Cont,930,510,6534 MAIN ST,,33.872769,-117.937137
236639971,08/09/2021 12:00:00 AM,08/09/2021 12:00:00 AM,2125,9,Van Nuys,1959,1,121,RAPE FORCIBLE,5914 2731,10,F,A,647,RESTAURANT/FAST FOOD,100,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JO,Juv Other,121,,1789 MANCHESTER ST,,33.93089,-118.112665
215473799,05/07/2024 12:00:00 AM,05/07/2024 12:00:00 AM,1406,13,Newton,442,1,230,ASSAULT WITH DEADLY WEAPON,4167 5308,36,M,H,135,SIDEWALK,103,REVOLVER,IC,Invest Cont,230,,7733 MAIN ST,,34.096744,-118.049559
236351883,06/24/2024 12:00:00 AM,06/21/2024 12:00:00 AM,844,16,Foothill,619,2,341,THEFT-GRAND,2185 1812,38,M,C,595,SINGLE FAMILY DWELLING,200,KNIFE OR CUTTING INSTRUMENT,IC,Invest Cont,341,,4729 MANCHESTER ST,,33.555466,-118.209135
230617349,04/16/2021 12:00:00 AM,04/15/2021 12:00:00 AM,1632,10,West Valley,1581,2,420,THEFT FROM MOTOR VEHICLE - GRAND,2502 8215,33,F,H,603,PARKING LOT,0,UNKNOWN,JO,Juv Other,420,,9215 VENICE ST,VERMONT AVE,33.629565,-118.069874
228456770,05/28/2023 12:00:00 AM,05/27/2023 12:00:00 AM,2197,7,Wilshire,843,2,745,VANDALISM - FELONY,2936 9833,45,M,O,626,"VEHICLE, PASSENGER/TRUCK",400,VEHICLE,AO,Adult Other,745,,1157 VENICE ST,,33.906667,-118.347936
204276176,06/30/2024 12:00:00 AM,06/28/2024 12:00:00 AM,2184,18,Southeast,1864,2,341,THEFT-GRAND,5517 3425,2,M,H,498,STREET,101,HAND GUN,IC,Invest Cont,341,,5420 HOOPER ST,,34.064474,-118.613322
227979522,12/22/2021 12:00:00 AM,12/21/2021 12:00:00 AM,437,4,Hollenbeck,399,1,230,ASSAULT WITH DEADLY WEAPON,9680 4846,28,X,C,449,OTHER BUSINESS,500,UNKNOWN WEAPON/OTHER WEAPON,JO,Juv Other,230,,5057 FLORENCE ST,,34.291249,-118.707507
220024220,03/24/2021 12:00:00 AM,03/23/2021 12:00:00 AM,1559,4,Hollenbeck,1201,2,341,THEFT-GRAND,4719 8739,22,M,F,809,SIDEWALK,103,REVOLVER,JA,Juv Arrest,341,,8035 MAIN ST,,34.152004,-118.248353
224406996,07/27/2023 12:00:00 AM,07/27/2023 12:00:00 AM,1199,14,Pacific,1141,2,520,VEHICLE - ATTEMPT STOLEN,6840 3681,25,M,C,336,PARKING LOT,300,BLUNT INSTRUMENT,JA,Juv Arrest,520,,9678 BROADWAY ST,,34.069266,-118.589053
232337355,01/24/2021 12:00:00 AM,01/24/2021 12:00:00 AM,2186,15,N Hollywood,294,2,220,ATTEMPTED ROBBERY,8127 5425,15,M,O,722,SINGLE FAMILY DWELLING,103,REVOLVER,IC,Invest Cont,220,,3106 HOOPER ST,,33.568542,-117.909737
